ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757308,3.105008,0.4607369,ACCELERATE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757393,3.105008,0.4877661,ACCELERATE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757404,3.105008,0.4930861,ACCELERATE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757439,3.105008,0.5159726,ACCELERATE
-1,6.520897,4.611063,6.48987,4.588938,15.98894,0.275746,3.105011,0.6095373,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757446,3.105018,0.7229112,ACCELERATE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.2757439,3.105024,0.8035145,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757445,3.105039,0.9040794,ACCELERATE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757442,3.105052,1.00831,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105067,1.109756,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105081,1.203082,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105095,1.308031,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.10511,1.415278,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105122,1.505505,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105134,1.600592,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.105152,1.701503,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105163,1.803786,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105179,1.900634,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105199,2.003884,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757447,3.105216,2.101146,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757431,3.105226,2.207723,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105243,2.30902,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105256,2.40224,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105269,2.505389,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105288,2.609671,ACCELERATE
