ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757381,3.105008,0.4820868,ACCELERATE
-1,6.520902,4.611067,6.489865,4.588934,15.98894,0.2757449,3.105008,0.5284877,ACCELERATE
-1,6.5209,4.611065,6.489867,4.588936,15.98894,0.2757453,3.105008,0.5340741,ACCELERATE
-1,6.5209,4.611065,6.489867,4.588936,15.98894,0.2757457,3.105008,0.5390559,ACCELERATE
-1,6.520896,4.611063,6.48987,4.588938,15.98894,0.275746,3.105008,0.6013679,ACCELERATE
-1,6.520891,4.611058,6.489877,4.588943,15.98894,0.2757442,3.105008,0.7028382,ACCELERATE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757461,3.105027,0.8035337,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.275746,3.105057,0.9038952,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757435,3.105072,1.004331,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757453,3.105093,1.100485,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.10512,1.202416,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757432,3.105134,1.302874,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105143,1.401843,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275747,3.105177,1.501458,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.105197,1.602864,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105197,1.701875,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757468,3.105231,1.801819,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275745,3.105261,1.902863,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757424,3.105266,2.001618,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757466,3.10529,2.100878,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105315,2.204398,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105315,2.304519,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275747,3.105352,2.404759,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105369,2.500102,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105378,2.603569,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105409,2.701585,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757456,3.105439,2.802853,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105439,2.902665,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757466,3.105468,3.00126,ACCELERATE
-1,6.520888,4.611039,6.489879,4.588962,15.98896,0.2757264,3.149781,3.10653,ACCELERATE
